Categoria,media_duration,media_bytes,media_packets
Normal,5465.0774346864855,118.38669102461598,2.201074744063363
Rato,74942.8343408025,125.99812402292861,3.0
Elefante,148225.7946063087,1054784.9395617626,16098.768601011318
