_id,npackets_total,nbytes_total,duration,rate
67369bb713ebfcef9618bfbd,10149,15351138,430,35700320.93023256
67369bb713ebfcef9618bbf5,226894,311867694,10385,30030591.622532498
67369bb713ebfcef9618bf84,10924,16524217,612,27000354.575163398
67369bb713ebfcef9618be05,20920,31666998,1399,22635452.466047175
67369bb713ebfcef96193359,136,201354,9,22372666.666666668
